,id,name,status,formed_in,genre,theme,active,ended_in,country
178,665,Astur,Active,2004.0,Death Metal,Death,2004-2022,2022,Peru
179,669,Asylum of Apathy,Active,2010.0,Death Metal,Death,2010-2022,2022,Netherlands
180,671,At Gunpoint,Split-up,2003.0,Death Metal,Revenge,2003-2005,2005,United States
181,676,Ataque Epilético,Active,2012.0,Death Metal,failures of the modern world and mysticism,2012-2022,2022,Brazil
182,678,Ataraxy,Active,2008.0,Death Metal,Darkness,2008-2022,2022,Spain
183,697,Atomwinter,Active,2010.0,Death Metal,War,2010-2022,2022,Germany
184,701,Atretic Intestine,Split-up,2006.0,Death Metal,Gore,2006-2016,2016,Finland
185,704,Atroce,Active,2012.0,Death Metal,Satanism,2012-2022,2022,Canada
186,725,Autopsia,Active,2005.0,Death Metal,Death,2005-2022,2022,China
187,734,Avernus Ortus,Active,2008.0,Death Metal,Inner Turmoil,2008-2022,2022,United States
188,735,Aversives,Active,2011.0,Death Metal,Death,2011-2022,2022,Luxembourg
189,736,Aversão,Active,2009.0,Death Metal,Psychopathy,2009-2022,2022,Brazil
190,739,Avulsed,Active,1992.0,Death Metal,Death,1992-2022,2022,Spain
191,740,Avulsion,Active,1994.0,Death Metal,Death,1994-2022,2022,United States
192,741,Await the Desolation,Active,2012.0,Death Metal,Doomsday,2012-2022,2022,United States
193,743,Awaiting Fear,Split-up,2007.0,Death Metal,Occultism,2007-2014,2014,Serbia
194,749,Axcutor,Active,2007.0,Death Metal,Gore,2007-2022,2022,South Korea
195,750,Axe of Vengeance,Active,1999.0,Death Metal,Paranormal,1999-2022,2022,United States
196,751,Axis Powers,Active,1997.0,Death Metal,War,1997-2022,2022,Sweden
197,752,Axon,Active,2001.0,Death Metal,War,2001-2022,2022,Mexico
198,754,Azagthoth,Split-up,1985.0,Death Metal,Death,1985-1987,1987,United Kingdom
199,760,Azorrague,Active,2007.0,Death Metal,Christianity,2007-2022,2022,Brazil
200,763,Azrail,Active,2006.0,Death Metal,Horror,2006-2022,2022,South Africa
201,764,Aäzylium,Active,2008.0,Death Metal,Death,2008-2022,2022,France
202,765,Aïwass,Active,2005.0,Death Metal,Gore,2005-2022,2022,France
203,766,B.G.T.,On hold,1996.0,Death Metal,Death,1996-2007,2007,Germany
204,768,Back from Death,Active,2009.0,Death Metal,Zombies,2009-2022,2022,United States
205,778,Baldrian,Active,2005.0,Death Metal,War,2005-2022,2022,Italy
206,785,Baraque's Lord,On hold,2002.0,Death Metal,Christianity,2002-2009,2009,Brazil
207,787,Barback,Split-up,1988.0,Death Metal,Gore,1988-1993,1993,France
208,789,Barbarikvltt,Active,2011.0,Death Metal,Blasphemy,2011-2022,2022,Chile
209,793,Baron,Split-up,1997.0,Death Metal,Occultism,1997-2003,2003,Germany
210,794,Barry the Mortician,Active,2012.0,Death Metal,Gore,2012-2022,2022,United States
211,796,Bastard,Active,2011.0,Death Metal,Anti-Christianity,2011-2022,2022,Brazil
212,802,Bastard Priest,Active,2002.0,Death Metal,Death,2002-2013,2013,Sweden
213,803,Bastard Son,Active,2011.0,Death Metal,Anger,2011-2022,2022,Canada
214,809,Bathed in Blood,Split-up,2004.0,Death Metal,Violence,2005-2011,2011,Canada
215,810,Battalion,Active,2001.0,Death Metal,War,2001-2022,2022,Belgium
216,815,Bear Mace,Active,2012.0,Death Metal,War,2012-2022,2022,United States
217,817,Beast Conjurator,Split-up,2009.0,Death Metal,H.P. Lovecraft,2009-2016,2016,Brazil
218,824,Bedlamite,Split-up,2010.0,Death Metal,Violence,2010-2013,2013,Sweden
219,826,Beeravore,Active,2007.0,Death Metal,Alcoholism,2007-2022,2022,United States
220,832,Behead the Lamb,Active,2007.0,Death Metal,Anti-Christianity,2007-2022,2022,United States
221,833,Beheader,Active,2009.0,Death Metal,Politics,2009-2022,2022,Brazil
222,838,Belfegore,Active,2002.0,Death Metal,Anti-Christianity,2002-2022,2022,Chile
223,847,Belle Gunness,Split-up,2004.0,Death Metal,Psychiatry,2004-2007,2007,Netherlands
224,851,Beneath Contempt,Active,2008.0,Death Metal,Moral Issues,2008-2022,2022,Belgium
225,855,Benediction,Active,1989.0,Death Metal,Rebellion,1989-2022,2022,United Kingdom
226,859,Bentara,Active,2010.0,Death Metal,Death,2010-2022,2022,Malaysia
227,870,Berserk Revolt,Active,2003.0,Death Metal,Paganism,2003-2022,2022,Ukraine
228,880,Bestial Therapy,Active,2008.0,Death Metal,Pessimism,2008-2022,2022,Czech Republic
